nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
800026173,5,117.02999999999999,-42.66,68.01,-2.68,-22.59,69.71000000000001,-25.180000000000003,172.73000000000002,-22.86,16.35,34.21,-5.88,0,0,32.35,-22.78,1,1,-39.01645165108298,34.66471734892789,1,1,1,1,5.257027175406433,Bajo,-7.06,0,-27.98,0,-6.25,0,-5.390000000000001,0,-4.91,51991.15,95703.43,0,-4.04,0,-61.57,0,-45.67,0,200,0,0,0,-2.74,0,-4.53,0,6.510000000000001,0
800026173,5,117.02999999999999,-42.66,68.01,-2.68,-22.59,69.71000000000001,-25.180000000000003,172.73000000000002,-22.86,16.35,34.21,-5.88,0,0,32.35,-22.78,1,1,-39.01645165108298,34.66471734892789,1,1,1,1,5.257027175406433,Bajo,-7.06,0,-27.98,0,-6.25,0,-5.390000000000001,0,-4.91,82481.015,0,51991.15,0,-44.5,0,1249.6000000000001,0,58.64,0,-83.33,0,1.22,0,-1.9900000000000002,0,-25.3,0,5
800029509,4,0,-29.459999999999997,0,60.28,0,127.23,0,7.76,0,456.48,0,0,0,0,0,-24.14,0,1,0,7.551287647315563,0,0,0,0,16.937589477207126,Medio,-13.22,68.24,0,-90.66,0,1.44,0,5.57,0,79480.68,143509.765,0,-12.709999999999999,0,-146.55,0,-44.62,0,25,0,0,0,3,0,-22.74,0,1.77,0
800029509,4,0,-29.459999999999997,0,60.28,0,127.23,0,7.76,0,456.48,0,0,0,0,0,-24.14,0,1,0,7.551287647315563,0,0,0,0,16.937589477207126,Medio,-13.22,68.24,0,-90.66,0,1.44,0,5.57,0,19640.35,0,79480.68,0,22.89,0,-246.81000000000003,0,-75.29,0,-60,0,6.47,0,-6.529999999999999,0,-27.750000000000004,0,0
800029509,4,0,-29.459999999999997,0,60.28,0,127.23,0,7.76,0,456.48,0,0,0,0,0,-24.14,0,1,0,7.551287647315563,0,0,0,0,16.937589477207126,Medio,-12.18,0,-4.3,0,411.21,0,3.06,0,4.16,79480.68,143509.765,0,-12.709999999999999,0,-146.55,0,-44.62,0,25,0,0,0,3,0,-22.74,0,1.77,0
800029509,4,0,-29.459999999999997,0,60.28,0,127.23,0,7.76,0,456.48,0,0,0,0,0,-24.14,0,1,0,7.551287647315563,0,0,0,0,16.937589477207126,Medio,-12.18,0,-4.3,0,411.21,0,3.06,0,4.16,19640.35,0,79480.68,0,22.89,0,-246.81000000000003,0,-75.29,0,-60,0,6.47,0,-6.529999999999999,0,-27.750000000000004,0,0
800030924,5,-6.419999999999999,104.85,3.9,29.599999999999998,11.020000000000001,-36.730000000000004,7.84,-46.18,-13.309999999999999,9.75,65.62,94.34,-25,33.33,0.69,41.69,0,0,7.5910382371440654,-30.833202985855447,0,0,0,0,4.108884057292853,Bajo,-2.23,123.00999999999999,0,-29.580000000000002,0,-1.79,0,3.93,0,0,168.765,0,24.5,12.25,-132.31,-157.42000000000002,-100,0,0,-50,0,0,-5.7700000000000005,-0.09,79.53,0.72,-43.24,3.1399999999999997
800030924,5,-6.419999999999999,104.85,3.9,29.599999999999998,11.020000000000001,-36.730000000000004,7.84,-46.18,-13.309999999999999,9.75,65.62,94.34,-25,33.33,0.69,41.69,0,0,7.5910382371440654,-30.833202985855447,0,0,0,0,4.108884057292853,Bajo,1.27,0,11.97,0,11.600000000000001,0,1.8800000000000001,0,2.34,0,168.765,0,24.5,12.25,-132.31,-157.42000000000002,-100,0,0,-50,0,0,-5.7700000000000005,-0.09,79.53,0.72,-43.24,3.1399999999999997
800037021,5,300.38,-63.629999999999995,1.44,-8.68,-74.66000000000001,151.07,-96.84,2543.19,-51.15,98.52,164,-3.0300000000000002,0,0,685.29,-59.550000000000004,0,0,96.13708731355793,11.209552028632608,1,1,1,1,12.911423016417578,Bajo,0.16,19.05,0,-37.419999999999995,0,-1.21,0,4.26,0,23742.08,50288.235,0,14.940000000000001,0,-102.46,0,-52.790000000000006,0,57.14,0,-95.88,0,-3.54,0,-6.12,0,11.48,0
800037021,5,300.38,-63.629999999999995,1.44,-8.68,-74.66000000000001,151.07,-96.84,2543.19,-51.15,98.52,164,-3.0300000000000002,0,0,685.29,-59.550000000000004,0,0,96.13708731355793,11.209552028632608,1,1,1,1,12.911423016417578,Bajo,0.16,19.05,0,-37.419999999999995,0,-1.21,0,4.26,0,32882.58,0,23742.08,0,19.650000000000002,0,-6288.16,0,38.5,0,-9.09,0,11.81,0,1.29,0,-32.2,0,10.11
