nit_entidad,orden_entidad,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_contratistas_dif_r_2,num_contratistas_dif_r_3,r_cont_cerrada_2,r_cont_cerrada_3,pnum_ganadoras_r_2,pnum_ganadoras_r_3,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3,IRCC,IRCCG
900036553,5,66.23,7.969999999999999,36.559999999999995,3.88,-17.849999999999998,-3.7900000000000005,37.830000000000005,13.3,-24.34,-70.98,82.35,32.26,33.33,0,42.5,-5.26,0,0,-14.272908366533876,-12.254806758593894,1,1,1,1,10.521404320716018,Bajo
900045710,5,55.75,-42.9,54.17999999999999,2.59,-1.01,79.66,-0.5,79.47,98.87,-19.81,-33.33,450,-50,100,26.040000000000003,-21.490000000000002,1,1,-19.075520833333336,37.49434644957033,1,1,1,1,6.552217252587911,Bajo
900048040,5,0,105.43,0,99.55000000000001,0,-2.87,0,-8.89,0,7.470000000000001,0,21.740000000000002,0,0,0,37.93,0,0,0,-32.858967341725965,0,1,0,1,8.704372386321051,Bajo
900052148,5,117.71000000000001,-13.16,116.25000000000001,18.759999999999998,-0.67,36.76,22.220000000000002,2.73,-16.1,26.590000000000003,51.160000000000004,7.6899999999999995,0,0,57.550000000000004,-4.79,0,0,-27.633835876139756,9.63527490473599,1,1,1,1,25.186941331581735,Medio
900058218,5,244.34,-22.470000000000002,342.99,9.36,28.65,41.05,117.39,20,-60.57,772.53,45.45,-9.379999999999999,0,-25,147.06,1.79,1,1,-28.25141015310233,31.278394750126193,0,1,0,1,7.780678165480521,Bajo
900061048,5,-14.67,3.75,-29.56,33.06,-17.45,28.249999999999996,-23.080000000000002,53.6,-14.860000000000001,14.91,-8.33,27.27,0,0,-15.709999999999999,3.39,0,0,-1.227678571428581,-0.3471513171329432,1,1,1,1,7.270944106233288,Bajo
900066345,5,20.830000000000002,-26.82,-5.43,12.809999999999999,-21.740000000000002,54.15,-34.46,30.48,-1.26,65.53,427.27000000000004,-34.48,0,0,39.64,-37.419999999999995,0,0,15.563839701770753,-14.48403985813207,1,1,1,1,16.850016122037296,Medio
900067136,4,575.5600000000001,-25.330000000000002,392.75,29.14,-27.060000000000002,72.94,-60.4,1.01,128.72,68.85,459.99999999999994,-3.5700000000000003,33.33,0,278.79,-24,1,0,-43.92942583732058,1.7797356828193944,1,1,1,1,19.58576514417652,Medio
900067169,6,51.64,-8.649999999999999,30.380000000000003,44.92,-14.02,58.64,38.79,27.200000000000003,-22.259999999999998,42.089999999999996,260,-7.41,0,0,32.43,-27.55,1,1,-12.666179693206715,-20.691945417220147,1,1,1,1,24.94504430697973,Medio
900077520,4,154.74,46.28,53.7,47.27,-39.660000000000004,0.6799999999999999,-40,11.81,-46.52,-45.86,76.47,76.67,0,0,45.16,16.669999999999998,1,1,-43.01519594774727,-20.24482109227873,1,1,1,1,10.597444360772595,Bajo
