nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
890982116,5,1082,17718495084,16375688.61737523,3537512,63037316.59766962,99,5,313,95.10166358595194,94.33068203457589,28.927911275415894,16.376614609652954,Bajo,7.095013909079372
890982123-1,5,94,594008424,6319238.55319149,1493512.5,17968929.21829574,3,4,45,97.87234042553192,93.11767336148081,47.87234042553192,26.07560395923805,Bajo,0
890982134,5,2252,30152943286,13389406.43250444,4200000,67092515.882839225,82,5,681,58.081705150976916,73.99698077354716,30.239786856127886,9.831736348670919,Bajo,0.5984945012194958
890982138,5,673,16370858079,24325197.73997028,9179478,69640757.51073961,77,4,248,98.06835066864784,80.39661960592824,36.84992570579495,11.462438471334416,Bajo,12.453649439910162
890982140,5,640,5598121168,8747064.325,5500000,20290245.159446996,85,4,224,99.375,94.85743088867704,35,9.915698883972798,Bajo,6.586046261735292
890982153,5,233,2215605434,9509036.197424892,6900000,10478550.096248655,16,3,104,50.21459227467812,48.28220262435049,44.63519313304721,11.754092518516146,Bajo,0.7134997303867654
890982162,5,631,7270175612,11521672.919175912,4000000,69887317.57859136,81,4,231,71.31537242472267,80.6427004778657,36.608557844690964,14.49182178635897,Bajo,0
890982182,5,711,5282732038,7430002.866385372,3900000,17403798.602497965,51,4,197,85.93530239099859,77.29714262671446,27.70745428973277,10.242405788667524,Bajo,3.2504356639801992
890982183,5,336,7211652195,21463250.58035714,5500000,150335165.44580278,42,4,152,99.70238095238095,99.85973599770918,45.23809523809524,26.6796945497487,Bajo,3.2944951744505575
890982184,5,891,5062548175,5681872.250280583,2500000,11806965.46046544,59,4,220,70.37037037037037,74.19281364171907,24.691358024691358,15.524312706431626,Bajo,3.203001387819432
890982264,5,991,107817151041,108796317.90211907,13750000,548771497.3696535,92,5,457,56.81130171543896,58.079216436712855,46.115035317860745,16.184357077294912,Bajo,28.34053469355697
890982370,5,296,5379580834,18174259.574324325,9000000,32638249.94616439,43,4,102,73.98648648648648,74.67008910084908,34.45945945945946,12.15322908537525,Bajo,8.884537520126367
890982430,5,510,15446031384,30286336.047058824,9566666.5,107693352.82518765,44,5,256,42.745098039215684,47.19184622757335,50.19607843137255,17.55208972414844,Bajo,6.023625324468355
890983675,5,590,6751475163,11443178.242372882,5447790.5,26098876.325474877,75,4,225,62.03389830508475,52.81502588562511,38.13559322033898,9.88723218977149,Bajo,11.423696418894487
890983843,5,480,5789036396,12060492.491666667,6000000,36993990.676260196,24,4,169,96.25,98.19356976107014,35.208333333333336,11.806859056350264,Bajo,24.687989599244208
890984427,5,193,1328219170,6881964.611398964,4320000,9009771.290360933,40,4,77,98.44559585492227,98.33815077371607,39.89637305699482,15.853355195914105,Bajo,5.763603513715966
890984670,5,658,24280933379,36901114.55775076,11081500,104382677.87258285,81,5,213,0,0,32.37082066869301,16.735991065566008,Bajo,7.420418483607643
890984696,5,251,14358238762,57204138.494023904,13800000,189385243.35332763,43,4,145,100,100,57.76892430278885,22.096336325551544,Bajo,1.8339727056893587
890984779,5,57,17045519852,299044207.9298246,16146000,1372039932.234638,4,2,39,96.49122807017544,15.894961476825248,68.42105263157895,38.49364638006429,Bajo,32.43535851405912
890985405,5,911,52505109568,57634587.890230514,11147600,235697449.53631523,75,5,452,0,0,49.61580680570801,17.827147086119812,Bajo,9.128644069687871
890985457,5,223,3159535071,14168318.704035874,6964998,33113896.725400936,34,4,100,37.219730941704036,40.71136015568539,44.843049327354265,17.460194139623617,Bajo,0.3448802310198486
890985603,5,2918,37670748128,12909783.45716244,4612685,53055466.60960431,148,5,519,99.24605894448251,86.66064187808105,17.78615490061686,14.976730374131337,Bajo,0
890985660,5,1802,49694969850,27577674.72253052,5940000,157664431.1585477,114,5,605,0.4994450610432853,0.4125746863693891,33.573806881243065,13.38386888307192,Bajo,0.20169066244964223
890985703,5,13655,290611123205,21282396.42658367,2631020,202817385.2073001,130,4,409,0.007323324789454412,0.009891156154997938,2.995239838886855,17.057244698832132,Bajo,2.577368253962323
