nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion,ine_coberturaNeta_m,ine_tasaDesercion_m,ine_tasaRepitencia_m,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaCritica_m,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
890680032,5,1016,9398711651,9250700.443897638,5683500,12843099.561882706,35,4,357,1.0826771653543308,0.5406592082713104,35.13779527559055,3.792203247699534,Bajo,0.24734331525265213,10414,336.1666666666667,171.33333333333334,904,7506,4798.8,4934.6,17116775000,1339628333.3333333,68.274,70.755,2.3333333333333335,8.85,39.538333333333334,38102.455,717749184
890680033,5,3354,37365424108,11140555.786523554,4088666.5,111161865.76237816,108,4,892,99.82110912343471,87.3027565904592,26.59511031604055,8.683128074583301,Bajo,10.799620600378226,6836.166666666667,581,107.33333333333333,868,6776,4620.4,4793.6,20144921666.666668,4524496666.666667,73.468,62.13388888888888,2,6.523333333333333,39.37166666666667,43023.82833333333,211209762
890700568,4,482,2626001052,5448134.962655602,2400000,12480773.909840543,41,4,146,0.4149377593360996,0.14394510608139696,30.29045643153527,9.190118681853578,Bajo,5.806241641839921,9535.833333333334,346.5,86,832,6744,4947,5058,10652871666.666666,980846666.6666666,61.763999999999996,74.261875,2.3333333333333335,6.816666666666666,36.71666666666667,60782.405,233541564.12333333
890700666,5,873,113349167528,129838679.87170675,6279000,2710336141.5219526,72,4,390,3.5509736540664374,0.7508205208386469,44.67353951890035,36.83380918833933,Bajo,0,8583.833333333334,390.6666666666667,157,640,6763,4904.4,5069.2,22947420000,76955000.00000007,75.902,64.365625,2.5,9.876666666666667,43.55833333333334,21646.23833333333,0
890700694,5,688,8261376912,12007815.279069768,6000000,23191730.904953223,82,5,226,0,0,32.848837209302324,10.847762128368776,Bajo,0,7243.833333333333,595.5,37.666666666666664,1096,6904,4595.6,4821.2,27306496666.666668,-76603333.3333333,65.656,66.63125,2.6,9.551666666666666,45.6,56558.528333333335,648887692.405
890700901,5,2676,18164506242,6787932.078475337,2790000,24689833.443916902,65,5,449,2.7653213751868457,2.5593893597011546,16.77877428998505,6.811693398684946,Bajo,0.8320687739425705,9219.5,410.1666666666667,127.33333333333333,828,6866,4832.6,5058.4,25664205000,122431666.66666667,68.69,80.11375,1.75,10.345,60.625,17799.559999999998,601912148
890700907,4,117,789151528,6744884.854700855,4800000,7218575.968570572,12,2,59,40.17094017094017,32.69523872733349,50.427350427350426,14.602787681226772,Bajo,0,8481.333333333334,489.1666666666667,337.8333333333333,945,7363,5039.2,5159.8,9073428333.333334,306770000,68.578,68.010625,2,7.691666666666666,31.083333333333332,45389.66166666667,112024444.5
890700967,5,997,14983475127,15028560.809428284,7200000,26950191.5245319,74,5,346,15.346038114343031,13.280054881356495,34.70411233701103,8.662990646512297,Bajo,11.101564735879373,8675,268.5,44.333333333333336,1013,6987,4285.8,4511.8,35366928333.333336,3325748333.3333335,69.67399999999999,59.183125,4.25,12.063333333333333,49.071666666666665,138328.29,2695627495.94
890701010,5,329,3474249915,10560030.136778116,5489469,22805156.41937948,27,4,179,3.0395136778115504,4.323815605533374,54.40729483282675,10.539200763675758,Bajo,0.9214487362380027,6381.5,276.3333333333333,178.16666666666666,998,5737,4841.4,4957.4,15987681666.666668,2433530000,73.754,69.48937500000001,4,7.155,37.211666666666666,66115.22,3014009064.7166667
890701033,5,2100,144208443085,68670687.18333334,15000000,228655486.07329753,114,5,370,87.76190476190476,77.18928464430415,17.61904761904762,14.826867563222624,Bajo,5.999830268021486,8984.333333333334,350,129,534,6641,4756.2,4917,71783763333.33333,3079445000,77.418,60.390625,3.6,9.615,59.265,41047.41666666667,2814170112.653333
