orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
5,86,86,99,1462536524,914658420,5901036670,17006238.651162792,10635563.023255814,59606431.01010101,9783000,6000000,10150000,30654259.0620218,18318193.032584876,186614071.67095077,9,32,29,4,4,4,67,47,40,1,1,1,77.90697674418605,54.65116279069767,40.4040404040404,0,1,1,0,1,1,25.345047217328172,Medio
5,708,1345,993,9403660213,5233954106,9734521306,13282005.950564971,3891415.6921933084,9803143.30916415,2000000,2540000,5600000,81114969.6424979,5635071.604347088,21504137.773886077,18,59,67,3,4,4,124,252,303,0,0,1,17.51412429378531,18.736059479553905,30.513595166163142,1,1,1,1,1,1,5.83037175166012,Bajo
5,0,75,143,0,1091265917,1367377252,0,14550212.226666667,9562078.685314685,0,6948000,5500000,0,24247624.30834394,12182409.815588558,0,9,32,0,1,4,0,47,92,0,0,1,0,62.66666666666667,64.33566433566433,0,1,1,0,1,1,11.109686688041869,Bajo
5,37,587,4309,2394582600,4974399186,19886623250,64718448.64864865,8474274.592844974,4615136.516593177,42000000,2600000,2137385,75564340.54738201,26782409.011642445,15234054.866983179,4,27,85,4,3,5,33,294,663,0,0,0,89.1891891891892,50.08517887563884,15.386400556973776,0,1,1,0,1,1,4.790162495986427,Bajo
5,5766,7506,6561,145343882121,216302174439,236452026681,25207055.518730488,28817236.136290967,36039022.508916326,11427761,9626911,12120828,154231688.71722817,203870549.06956044,351470286.7066665,70,119,119,3,4,4,2800,2761,2664,0,0,0,48.56052722858134,36.78390620836664,40.603566529492454,1,1,1,1,1,1,3.545100799735039,Bajo
6,0,551,392,0,5219615460,4591457143,0,9472986.315789474,11712900.875,0,4335000,7572500,0,17575604.923365057,15804702.38006761,0,31,32,0,4,4,0,176,149,0,1,0,0,31.941923774954628,38.01020408163265,0,1,0,0,1,1,8.198092876780885,Bajo
5,0,214,281,0,1155119034,1613867947,0,5397752.495327103,5743302.302491103,0,2920254.5,3014364,0,6299779.503191992,8993744.111527706,0,42,53,0,4,4,0,78,103,0,1,1,0,36.44859813084112,36.654804270462634,0,0,1,0,0,1,10.663615991941214,Bajo
5,101,185,184,878408206,848702109,447640702,8697110.95049505,4587578.967567568,2432829.902173913,3532200,1366715,1215355,19060048.532372404,13871490.154753275,2624338.514697908,11,44,36,4,4,3,46,68,48,1,1,0,45.54455445544555,36.75675675675676,26.08695652173913,0,1,1,0,1,1,20.375401013436104,Medio
4,317,442,535,3700797314,4917393317,6455480504,11674439.476340694,11125324.246606335,12066318.69906542,4409211,6500000,5600000,21872894.927725174,18771719.110427786,18213935.585446104,34,37,28,3,3,3,147,204,173,1,1,1,46.37223974763407,46.15384615384615,32.33644859813084,0,0,0,0,0,0,4.872378582342431,Bajo
5,800,3372,2536,27359400676,49176664634,59467976616,34199250.845,14583826.9970344,23449517.59305994,6918000,5600000,9792000,191287966.69577938,85098577.42250179,123948242.69527122,34,66,73,4,5,4,380,1126,983,0,1,0,47.5,33.392645314353494,38.761829652996845,1,1,1,1,1,1,7.3977746835541565,Bajo
