nit_entidad,orden_entidad,num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_contratistas_dif_1,num_contratistas_dif_2,num_contratistas_dif_3,num_HHI,val_HHI,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pnum_ganadoras_1,pnum_ganadoras_2,pnum_ganadoras_3,pnum_ic4k,pval_ic4k,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3
900127853,5,623,110,421,8906001738,816510262,7130672953,14295347.894060995,7422820.5636363635,16937465.44655582,2800000,4062000,8970000,115263359.71274504,11433579.59743507,23328174.93620477,35,15,22,4,3,4,163,74,94,1.1705198405666073,6.342398030499529,0,0,1,26.163723916532906,67.27272727272727,22.327790973871732,13.4315424610052,47.553266687276235,0,0,0,0,0,0
900128655,5,650,360,444,6197556222,1500355471,2377736143,9534701.88,4167654.086111111,5355261.583333333,1620000,3050000,3400000,164662958.15305603,4088929.566934625,6473729.695643979,30,23,1,4,4,1,172,165,146,0.545854626709225,18.026799729362622,1,0,0,26.461538461538463,45.83333333333333,32.88288288288289,6.533700137551582,49.43568410760798,0,0,0,0,0,0
900129296,5,143,139,151,1259956193,588177778,827461315,8810882.468531469,4231494.805755395,5479876.258278145,3750000,2850000,4688000,20808816.282701794,5779962.000669322,4912411.410043296,32,30,27,4,4,4,77,66,66,1.1643349743184934,2.5658500115227394,0,1,1,53.84615384615385,47.482014388489205,43.70860927152318,12.702078521939953,20.588537058739607,0,1,1,1,1,1
900129891,5,56,77,353,272476000,415836946,1931620532,4865642.857142857,5400479.818181818,5472012.838526912,4575000,4800000,4500000,1868584.5827409427,1758617.2229600234,11521555.827953568,1,8,43,1,1,4,42,50,134,1.1084014970617622,1.9505339315628705,1,1,1,75,64.93506493506493,37.960339943342774,12.34567901234568,18.060211756262003,0,0,0,0,0,0
900131684,5,0,0,133,0,0,632319796,0,0,4754284.180451128,0,0,3000000,0,0,5192115.452696346,0,0,10,0,0,3,0,0,69,1.8146870936740345,4.04041822851492,0,0,1,0,0,51.8796992481203,12.030075187969924,31.310717654647014,0,0,0,0,0,0
900134497,5,698,769,750,2364723252,3168540442,4184398279,3387855.6618911177,4120338.6762028607,5579197.705333333,1874250,2400000,3057600,6766721.221958234,6818460.702844501,10074017.142992845,25,31,66,5,4,4,171,242,235,0.44851680203552774,0.72315487773009,0,0,0,24.498567335243553,31.469440832249674,31.333333333333336,4.375281912494362,8.988575322201115,0,1,1,0,1,1
900134576,5,0,286,538,0,1087822505,2041598500,0,3803575.1923076925,3794792.750929368,0,2214000,2490000,0,6325339.399768569,3724689.7604218363,0,33,45,0,4,4,0,90,115,1.6463026675464227,2.29715191314862,0,0,0,0,31.46853146853147,21.37546468401487,17.233009708737864,21.081304047807397,0,0,0,0,0,0
900135676,5,137,435,461,606856903,2253193930,2090829804,4429612.430656934,5179756.160919541,4535422.568329718,4140000,2700000,2705500,2863088.859987049,8279707.714186134,4906610.4577527195,16,62,47,4,4,4,72,137,128,1.1533246055389943,2.4664634893429174,1,1,1,52.55474452554745,31.494252873563216,27.765726681127983,11.616650532429816,25.45309102349098,0,1,1,0,1,1
900136865,6,133,405,309,4620931009,24824913499,27563985906,34743842.172932334,61296082.71358024,89203837.88349515,19064630,13200000,19000000,39612975.105464265,232925932.6902804,228492155.8427752,36,53,55,4,4,4,59,166,142,1.8317305748882435,8.693860215120724,0,1,0,44.3609022556391,40.98765432098765,45.9546925566343,17.237308146399055,51.083092934176435,0,1,1,0,1,1
900136920,5,0,113,777,0,335651571,39143044266,0,2970367.884955752,50377148.34749035,0,2295000,2550000,0,2969462.9673746047,303386053.02421147,0,20,57,0,4,4,0,77,171,1.087488953414973,5.886947928316032,0,1,1,0,68.14159292035397,22.00772200772201,11.797752808988763,31.56915089965919,0,0,0,0,0,0
900140292,4,0,191,300,0,2437671333,1040318828,0,12762677.136125654,3467729.4266666668,0,1500000,1870000,0,145830093.53300467,4273027.321796948,0,9,12,0,1,1,0,71,78,1.406581190554212,34.134676972053505,0,1,1,0,37.17277486910995,26,10.9979633401222,65.12669990845326,0,0,0,0,0,0
900142446,5,475,321,0,2940474300,1711968531,0,6190472.2105263155,5333235.29906542,0,4120000,2850000,0,13575196.172624977,6362565.849854577,0,28,31,0,4,4,0,174,167,0,0.732620388374031,1.1193227477104675,0,0,0,36.63157894736842,52.024922118380054,0,7.788944723618091,12.699303279198102,1,1,0,1,1,0
900142579,5,1467,1585,1151,5605636364,6292850900,6005858220,3821156.3490115884,3970252.933753943,5217948.062554301,2100000,1800000,2400000,12820918.58545064,27774176.985900544,10570015.55450202,52,54,50,4,4,4,278,356,273,0.38847544911582993,1.5900759824866018,1,1,1,18.950238582140422,22.46056782334385,23.71850564726325,5.519866761836783,19.563516019785045,0,1,1,0,1,1
