num_contratos_1,num_contratos_2,num_contratos_3,val_contratos_1,val_contratos_2,val_contratos_3,val_contratos_media_1,val_contratos_media_2,val_contratos_media_3,val_contratos_median_1,val_contratos_median_2,val_contratos_median_3,val_contratos_desv_1,val_contratos_desv_2,val_contratos_desv_3,num_familias_dif_1,num_familias_dif_2,num_familias_dif_3,num_grupos_dif_1,num_grupos_dif_2,num_grupos_dif_3,num_entidades_dif_1,num_entidades_dif_2,num_entidades_dif_3,b_cont_cerrada_1,b_cont_cerrada_2,b_cont_cerrada_3,pentidades_1,pentidades_2,pentidades_3,b_adicion_tiempo_1,b_adicion_tiempo_2,b_adicion_tiempo_3,b_adicion_cuantia_1,b_adicion_cuantia_2,b_adicion_cuantia_3,IRCC,IRCCG
0,4,5,0,14292207,24357453,0,3573051.75,4871490.6,0,2675095,3687453,0,2088932.8196311747,2296688.175273648,0,2,5,0,2,2,0,2,5,0,1,1,0,50,100,0,0,0,0,0,0,24.242668274152585,Bajo
4,10,1,14219303,86756000,15600000,3554825.75,8675600,15600000,2907048,7500000,15600000,3117008.4758086423,4667979.415359736,0,1,3,1,2,2,1,1,2,1,0,1,0,25,20,100,0,0,0,0,0,0,68.39917661120629,Medio
2,2,6,13660000,23906494,100000200,6830000,11953247,16666700,6830000,11953247,12319800,4002224.381515859,9280964.593477232,14347113.916185373,2,1,2,1,1,1,2,1,2,1,0,0,100,50,33.33333333333333,0,1,1,0,1,1,52.772826541842846,Bajo
0,1,12,0,4500000,69707000,0,4500000,5808916.666666667,0,4500000,4650000,0,0,3122125.3675350803,0,1,2,0,1,1,0,1,3,0,0,0,0,100,25,0,0,0,0,0,0,41.21019509542099,Bajo
0,1,9,0,4500000,34250000,0,4500000,3805555.5555555555,0,4500000,4400000,0,0,1901059.6460337003,0,1,3,0,1,1,0,1,5,0,0,0,0,100,55.55555555555556,0,0,0,0,0,0,38.06557752341311,Bajo
4,9,8,115991999,388265810,397440000,28997999.75,43140645.55555555,49680000,28996499.5,19910930,24950000,7894297.382773651,53877124.84852062,46921287.279869035,1,3,2,1,1,1,1,4,2,0,1,1,25,44.44444444444444,25,1,1,1,1,1,1,46.046267587731954,Bajo
1,2,1,1625000,9645579,10401216,1625000,4822789.5,10401216,1625000,4822789.5,10401216,0,4198626.825524328,0,1,1,1,1,1,1,1,2,1,1,1,0,100,100,100,0,0,0,0,0,0,44.53516111072251,Bajo
0,17,5,0,365000000,389000000,0,21470588.23529412,77800000,0,18000000,104000000,0,17317323.866069864,39688789.34913485,0,2,2,0,1,1,0,1,3,0,1,1,0,5.88235294117647,60,0,0,0,0,0,0,75.54255071155531,Medio
5,6,1,10240000,14816667,4120000,2048000,2469444.5,4120000,2200000,1940000,4120000,675366.56713225,1734320.6933786785,0,2,2,1,1,1,1,1,2,1,0,1,0,20,33.33333333333333,100,0,0,0,0,0,0,46.90243743364409,Bajo
0,2,9,0,14240000,508123000,0,7120000,56458111.11111111,0,7120000,54600000,0,1244507.9348883235,32605478.828121986,0,1,2,0,1,1,0,2,3,0,1,0,0,100,33.33333333333333,0,0,1,0,0,1,45.86473635468091,Bajo
3,1,3,17096000,12000000,53660000,5698666.666666667,12000000,17886666.666666668,4496000,12000000,1000000,5794377.044457267,0,29248564.637146443,1,1,2,1,1,1,2,1,2,1,0,0,66.66666666666666,100,66.66666666666666,1,0,0,0,0,0,39.29684700360406,Bajo
1,12,8,20000000,164000000,118080000,20000000,13666666.666666666,14760000,20000000,12640000,12960000,0,8955182.687678514,6916712.679135537,1,3,1,1,1,1,1,2,1,0,0,0,100,16.666666666666664,12.5,0,1,0,0,1,0,84.65359141605327,Alto
6,10,13,24800000,47250000,90425000,4133333.3333333335,4725000,6955769.230769231,3600000,2200000,5000000,2010638.3729220594,5478404.573109462,6756510.393117715,1,2,5,1,1,2,1,3,3,0,0,0,16.666666666666664,30,23.076923076923077,0,0,1,0,0,1,54.78741547642458,Bajo
12,10,9,137447100,140295000,105892000,11453925,14029500,11765777.777777778,7699750,10775000,10000000,8624982.344026724,10054886.34390707,6599989.42760096,2,1,2,1,1,1,1,1,3,0,0,1,8.333333333333332,10,33.33333333333333,0,1,1,0,1,1,87.94324192083562,Alto
0,1,5,0,1070000,47413668,0,1070000,9482733.6,0,1070000,8493000,0,0,3754150.9642587365,0,1,3,0,1,2,0,1,2,0,1,0,0,100,40,0,0,1,0,0,0,64.92813890643318,Medio
5,0,0,76160000,0,0,15232000,0,0,12000000,0,0,7194798.120864823,0,0,1,0,0,1,0,0,3,0,0,1,0,0,60,0,0,1,0,0,1,0,0,44.75388611326884,Bajo
2,3,2,446760000,187892347,92139796,223380000,62630782.333333336,46069898,223380000,40746509,46069898,84258844.04618901,42050105.261563785,25009241.136572536,1,1,1,1,1,1,1,2,1,0,1,1,50,66.66666666666666,50,1,1,1,1,1,1,52.69306883495221,Bajo
2,3,3,28005306,211886430,118688023,14002653,70628810,39562674.333333336,14002653,70738380,34342041,943015.9881666906,4655086.234951614,39929781.794882305,1,1,2,1,1,1,1,1,2,0,1,1,50,33.33333333333333,66.66666666666666,0,1,1,0,1,1,71.29794786771771,Medio
5,2,1,12860000,25827396,14400000,2572000,12913698,14400000,2560000,12913698,14400000,1555609.205424036,14320753.625085797,0,1,2,1,1,1,1,1,2,1,0,0,0,20,100,100,0,1,0,0,1,0,63.840808834294776,Medio
2,5,8,2156000,6840000,735741000,1078000,1368000,91967625,1078000,1235500,1182000,131521.86130069784,370833.0149811368,256794337.9204108,2,4,2,1,2,2,1,3,5,0,1,0,50,60,62.5,0,0,0,0,0,0,60.31995154229416,Medio
14,24,22,1889475101,438400342,643329695,134962507.2142857,18266680.916666668,29242258.863636363,74012507.5,9064903,12000000,143124643.76337707,28197536.514861323,62947569.307247534,6,10,11,2,4,3,3,4,6,1,1,1,21.428571428571427,16.666666666666664,27.27272727272727,1,0,1,1,0,1,40.0898863368038,Bajo
0,0,4,0,0,17700000,0,0,4425000,0,0,2700000,0,0,3729499.5195959825,0,0,3,0,0,1,0,0,4,0,0,1,0,0,100,0,0,1,0,0,0,36.20407609563025,Bajo
0,3,1,0,3509000,956200,0,1169666.6666666667,956200,0,706000,956200,0,893779.8013679506,0,0,3,1,0,2,1,0,2,1,0,1,1,0,66.66666666666666,100,0,0,0,0,0,0,43.55624920448434,Bajo
0,4,1,0,149126574,60600000,0,37281643.5,60600000,0,38600000,60600000,0,35203541.10565729,0,0,3,1,0,2,1,0,2,1,0,1,1,0,50,100,0,0,0,0,1,1,47.651663801639614,Bajo
1,5,2,46600000,158232000,197540000,46600000,31646400,98770000,46600000,34800000,98770000,0,19344759.62114805,21877883.80991178,1,2,1,1,1,1,1,3,1,0,0,0,100,60,50,0,0,0,0,0,0,47.00743853190204,Bajo
0,2,15,0,5600000,148986740,0,2800000,9932449.333333334,0,2800000,7000000,0,565685.4249492381,10648625.005937532,0,2,5,0,1,1,0,2,10,0,1,1,0,100,66.66666666666666,0,0,0,0,0,1,25.046632573880004,Bajo
3,1,6,56038500,24000000,141400000,18679500,24000000,23566666.666666668,4500000,24000000,23500000,25232885.997245736,0,7920016.834998942,1,1,3,1,1,1,1,1,3,0,1,1,33.33333333333333,100,50,0,0,1,0,0,1,44.60730106186407,Bajo
1,2,2,50000000,42000000,21500000,50000000,21000000,10750000,50000000,21000000,10750000,0,1414213.562373095,1060660.1717798214,1,2,1,1,2,1,1,2,1,1,1,0,100,100,50,0,0,0,0,0,0,46.146422402918745,Bajo
2,0,1,13559000,0,877452,6779500,0,877452,6779500,0,877452,1726047.6528763624,0,0,1,0,1,1,0,1,2,0,1,1,0,0,100,0,100,0,0,0,0,0,0,41.996888047844536,Bajo
0,4,7,0,42321996,112550378,0,10580499,16078625.42857143,0,8105000,4347000,0,7143487.466403974,17361933.05624653,0,2,2,0,1,1,0,2,2,0,0,1,0,50,28.57142857142857,0,0,0,0,0,0,46.319259834729294,Bajo
4,4,2,88716666,76600000,70944000,22179166.5,19150000,35472000,22508333,20800000,35472000,8701121.537224708,13863501.241268983,746704.7609329942,1,3,1,1,1,1,2,2,1,1,1,0,50,50,50,0,0,0,0,0,0,74.76681725434149,Medio
3,8,4,101214550,132605403,113606976,33738183.333333336,16575675.375,28401744,38082000,11770500,28401744,8115786.687119945,12128818.75332677,8773710.29394338,1,3,4,1,1,1,2,3,2,1,1,1,66.66666666666666,37.5,50,0,0,0,0,0,0,40.753694333480865,Bajo
2,1,0,11500000,790000,0,5750000,790000,0,5750000,790000,0,6010407.640085654,0,0,2,1,0,1,1,0,2,1,0,1,1,0,100,100,0,0,0,0,0,0,0,54.035570847631035,Bajo
2,7,5,6000000,17261550,21781559,3000000,2465935.714285714,4356311.8,3000000,2000000,3000000,0,2602557.4288755357,4128907.19858611,1,5,3,2,3,2,2,4,3,1,1,1,100,57.14285714285714,60,0,1,0,0,1,1,40.8296683490515,Bajo
3,8,3,162099034,297099248,175644000,54033011.333333336,37137406,58548000,37114650,39608481,58548000,34552488.952589005,15656883.315214759,19516000,1,3,1,1,1,1,3,3,1,1,1,0,100,37.5,33.33333333333333,0,1,1,1,1,1,61.76072636412656,Medio
2,1,2,10500000,13750000,40200000,5250000,13750000,20100000,5250000,13750000,20100000,353553.39059327374,0,1272792.2061357854,1,1,2,1,1,1,2,1,1,0,1,1,100,100,50,0,0,0,0,0,0,64.77730103922852,Medio
1,0,2,3600000,0,7200000,3600000,0,3600000,3600000,0,3600000,0,0,0,1,0,2,1,0,1,1,0,2,0,0,1,100,0,100,0,0,0,0,0,0,33.33333333333333,Bajo
5,7,13,18340200,42234600,47153413,3668040,6033514.285714285,3627185.6153846155,2013000,6749000,3750000,3731073.2380911526,4208849.096617178,2343208.930208015,3,5,3,1,1,1,2,4,4,1,1,1,40,57.14285714285714,30.76923076923077,0,0,1,0,0,1,35.802937729483006,Bajo
