id_contratista_std,num_contratos_r_2,num_contratos_r_3,val_contratos_r_2,val_contratos_r_3,val_contratos_media_r_2,val_contratos_media_r_3,val_contratos_median_r_2,val_contratos_median_r_3,val_contratos_desv_r_2,val_contratos_desv_r_3,num_familias_dif_r_2,num_familias_dif_r_3,num_grupos_dif_r_2,num_grupos_dif_r_3,num_entidades_dif_r_2,num_entidades_dif_r_3,num_HHI,val_HHI,r_cont_cerrada_2,r_cont_cerrada_3,pentidades_r_2,pentidades_r_3,pnum_ic1k,pval_ic1k,r_adicion_tiempo_2,r_adicion_tiempo_3,r_adicion_cuantia_2,r_adicion_cuantia_3
9005637205,300,0,602.21,0,75.55,0,41.949999999999996,0,0,0,200,0,0,0,100,0,68,86.88023001357729,1,0,-50,0,80,92.9419550169629,0,0,0,0
9005641415,-75,100,-86.63,262.24,-46.52,81.12,-45.73,81.12,0,0,-66.67,100,-50,100,0,0,59.183673469387756,58.05340007579019,0,0,300,-50,71.42857142857143,70.06663907557788,0,0,0,0
9005646541,-62.5,0,-13.19,0,131.49,0,1546.3100000000002,0,13.68,0,200,0,-50,0,-50,0,50.413223140495866,90.00806169350653,1,0,33.3333333333333,0,54.54545454545454,94.7258659466234,0,0,0,0
9005676126,-66.67,0,215.13,0,845.3799999999999,0,971.43,0,0,0,-50,0,0,0,0,0,62.5,63.42752708616762,0,0,200.00000000000006,0,75,75.91093117408907,0,0,0,0
9005677987,100,0,272.75,0,86.38,0,86.38,0,0,0,0,0,0,0,100,0,55.55555555555555,50.798698278829754,1,0,0,0,66.66666666666666,56.31940772078266,0,0,0,0
9005680730,-50,0,-45.12,0,9.75,0,9.75,0,0,0,0,0,-50,0,0,0,55.55555555555555,54.24451573328935,0,0,100,0,66.66666666666666,64.56797126110796,0,0,0,0
9005693833,0,50,173.89,12.33,173.89,-25.11,173.89,-37.330000000000005,776.89,1.96,0,-50,100,-50,100,0,30.61224489795918,59.02964815327715,0,0,100,-33.33333333333335,42.857142857142854,74.8154194014986,0,0,0,1
9005700871,75,0,16.89,0,-33.21,0,-40.11,0,-50.96000000000001,0,-50,0,0,0,100,0,50.413223140495866,50.885889682836826,0,0,14.28571428571428,0,54.54545454545454,56.65541014076824,1,0,1,0
9005711374,-50,0,-71.43,0,-42.86,0,-15.53,0,-69.86,0,-66.67,0,-50,0,-50,0,33.33333333333333,55.56907862292519,1,0,0,0,33.33333333333333,70.81391301762908,0,0,0,0
9005718665,0,0,-71,0,-71,0,-71,0,-99.66000000000001,0,100,0,-50,0,-50,0,37.5,42.612523236028885,0,0,-50,0,50,58.140844561255555,0,0,0,0
