parents,info,ids
SGR_Asignación presupuestal,Total de asignaciones SGR 2012,SGR_Asignación presupuestal - Total de asignaciones SGR 2012
SGR_Asignación presupuestal,Total de asignaciones SGR 2013-2014,SGR_Asignación presupuestal - Total de asignaciones SGR 2013-2014
SGR_Asignación presupuestal,Total de asignaciones SGR 2015-2016,SGR_Asignación presupuestal - Total de asignaciones SGR 2015-2016
SGR_Asignación presupuestal,Total de asignaciones SGR 2017-2018,SGR_Asignación presupuestal - Total de asignaciones SGR 2017-2018
SGR_Cantidad y monto de proyectos de regalías,Número total de proyectos,SGR_Cantidad y monto de proyectos de regalías - Número total de proyectos
SGR_Cantidad y monto de proyectos de regalías - Número total de proyectos,Número de proyectos sin contratar,Número total de proyectos - Número de proyectos sin contratar
SGR_Cantidad y monto de proyectos de regalías - Número total de proyectos,Número de proyectos terminados,Número total de proyectos - Número de proyectos terminados
SGR_Cantidad y monto de proyectos de regalías - Número total de proyectos,Número de proyectos contratados,Número total de proyectos - Número de proyectos contratados
SGR_Cantidad y monto de proyectos de regalías - Valor del número total de proyectos,Valor de los proyectos contratados,Valor del número total de proyectos - Valor de los proyectos contratados
SGR_Cantidad y monto de proyectos de regalías - Valor del número total de proyectos,Valor de los proyectos sin contratar,Valor del número total de proyectos - Valor de los proyectos sin contratar
SGR_Cantidad y monto de proyectos de regalías - Valor del número total de proyectos,Valor de los proyectos terminados,Valor del número total de proyectos - Valor de los proyectos terminados
SGR_Cantidad y monto de proyectos de regalías,Valor del número total de proyectos,SGR_Cantidad y monto de proyectos de regalías - Valor del número total de proyectos
SGR_IGPR,Índice de gestión de proyectos de regalías (IGPR),SGR_IGPR - Índice de gestión de proyectos de regalías (IGPR)
SGR_IGPR - Índice de gestión de proyectos de regalías (IGPR),Componente - Eficiencia,SGR_IGPR - Componente - Eficiencia
SGR_IGPR - Índice de gestión de proyectos de regalías (IGPR),Componente - Sin medidas del SMSCE,SGR_IGPR - Componente - Sin medidas del SMSCE
SGR_IGPR - Índice de gestión de proyectos de regalías (IGPR),Componente - Transparencia,SGR_IGPR - Componente - Transparencia
SGR_IGPR - Índice de gestión de proyectos de regalías (IGPR),Componente - Eficacia,SGR_IGPR - Componente - Eficacia
SGR_Saldos,Saldo total,SGR_Saldos - Saldo total
SGR_Saldos - Saldo total,Saldo directas,Saldo total - Saldo directas
SGR_Saldos - Saldo total,Saldo específicas,Saldo total - Saldo específicas
