codigo_entidad,valor,anno,indicador
13030,7419,2014,ine_coberturaNeta
13006,9202,2014,ine_coberturaNeta
13001,9662,2014,ine_coberturaNeta
13000,8741,2014,ine_coberturaNeta
13683,6028,2014,ine_coberturaNeta
13673,9166,2014,ine_coberturaNeta
13670,7157,2014,ine_coberturaNeta
13667,8161,2014,ine_coberturaNeta
13657,9294,2014,ine_coberturaNeta
13655,5997,2014,ine_coberturaNeta
13654,10438,2014,ine_coberturaNeta
13650,6433,2014,ine_coberturaNeta
13647,8301,2014,ine_coberturaNeta
13620,9663,2014,ine_coberturaNeta
13600,3163,2014,ine_coberturaNeta
13580,3463,2014,ine_coberturaNeta
13549,8283,2014,ine_coberturaNeta
13490,NA,2014,ine_coberturaNeta
13473,6576,2014,ine_coberturaNeta
13468,9317,2014,ine_coberturaNeta
13458,4947,2014,ine_coberturaNeta
13442,8594,2014,ine_coberturaNeta
13440,8428,2014,ine_coberturaNeta
13433,9115,2014,ine_coberturaNeta
13430,9799,2014,ine_coberturaNeta
13300,8754,2014,ine_coberturaNeta
13268,8045,2014,ine_coberturaNeta
13248,8836,2014,ine_coberturaNeta
13244,7469,2014,ine_coberturaNeta
13222,8612,2014,ine_coberturaNeta
13212,10730,2014,ine_coberturaNeta
13188,11020,2014,ine_coberturaNeta
13160,8832,2014,ine_coberturaNeta
13140,8253,2014,ine_coberturaNeta
13074,7995,2014,ine_coberturaNeta
13062,5006,2014,ine_coberturaNeta
13894,7816,2014,ine_coberturaNeta
13873,9114,2014,ine_coberturaNeta
13838,7651,2014,ine_coberturaNeta
13836,9183,2014,ine_coberturaNeta
13810,6787,2014,ine_coberturaNeta
13780,8587,2014,ine_coberturaNeta
13760,8821,2014,ine_coberturaNeta
13744,6921,2014,ine_coberturaNeta
13688,6270,2014,ine_coberturaNeta
15632,8964,2014,ine_coberturaNeta
15621,7939,2014,ine_coberturaNeta
15600,2956,2014,ine_coberturaNeta
15599,8807,2014,ine_coberturaNeta
15580,6467,2014,ine_coberturaNeta
15572,8916,2014,ine_coberturaNeta
15550,11706,2014,ine_coberturaNeta
15542,7441,2014,ine_coberturaNeta
15537,7642,2014,ine_coberturaNeta
15533,10818,2014,ine_coberturaNeta
15531,6525,2014,ine_coberturaNeta
15522,13833,2014,ine_coberturaNeta
15518,12894,2014,ine_coberturaNeta
15516,10015,2014,ine_coberturaNeta
15514,7556,2014,ine_coberturaNeta
15511,7628,2014,ine_coberturaNeta
15507,5526,2014,ine_coberturaNeta
15500,6367,2014,ine_coberturaNeta
15494,7005,2014,ine_coberturaNeta
15491,7188,2014,ine_coberturaNeta
15480,7994,2014,ine_coberturaNeta
15476,5798,2014,ine_coberturaNeta
15469,9289,2014,ine_coberturaNeta
15466,8253,2014,ine_coberturaNeta
15464,8036,2014,ine_coberturaNeta
15455,8096,2014,ine_coberturaNeta
15442,6899,2014,ine_coberturaNeta
15425,7422,2014,ine_coberturaNeta
15407,8386,2014,ine_coberturaNeta
15403,9260,2014,ine_coberturaNeta
15401,5799,2014,ine_coberturaNeta
15380,9243,2014,ine_coberturaNeta
15377,5164,2014,ine_coberturaNeta
15368,7875,2014,ine_coberturaNeta
15367,7662,2014,ine_coberturaNeta
15362,6952,2014,ine_coberturaNeta
15332,3524,2014,ine_coberturaNeta
15325,7236,2014,ine_coberturaNeta
15322,10269,2014,ine_coberturaNeta
15317,7794,2014,ine_coberturaNeta
15299,7254,2014,ine_coberturaNeta
15296,7812,2014,ine_coberturaNeta
15293,10518,2014,ine_coberturaNeta
15276,6748,2014,ine_coberturaNeta
15272,7295,2014,ine_coberturaNeta
15248,9072,2014,ine_coberturaNeta
15244,7625,2014,ine_coberturaNeta
15238,9528,2014,ine_coberturaNeta
15236,8510,2014,ine_coberturaNeta
15232,6879,2014,ine_coberturaNeta
15226,7855,2014,ine_coberturaNeta
15224,7053,2014,ine_coberturaNeta
15223,6018,2014,ine_coberturaNeta
15218,7855,2014,ine_coberturaNeta
15215,9758,2014,ine_coberturaNeta
15212,7453,2014,ine_coberturaNeta
15204,7141,2014,ine_coberturaNeta
15189,9315,2014,ine_coberturaNeta
15187,3406,2014,ine_coberturaNeta
15185,9111,2014,ine_coberturaNeta
15183,8283,2014,ine_coberturaNeta
15180,7078,2014,ine_coberturaNeta
15176,8525,2014,ine_coberturaNeta
15172,8182,2014,ine_coberturaNeta
15810,8948,2014,ine_coberturaNeta
15808,7155,2014,ine_coberturaNeta
15806,6284,2014,ine_coberturaNeta
15804,8039,2014,ine_coberturaNeta
15798,8226,2014,ine_coberturaNeta
15790,8031,2014,ine_coberturaNeta
15778,7526,2014,ine_coberturaNeta
15776,7980,2014,ine_coberturaNeta
