codigo_entidad,indicador,valor,anno,mes
15296,Ingresos totales,8296219999.999999,2014,12
15299,Ingresos totales,15246870000,2014,12
15317,Ingresos totales,4976500000,2014,12
15322,Ingresos totales,13870440000,2014,12
15325,Ingresos totales,9522130000,2014,12
15332,Ingresos totales,7510060000,2014,12
15362,Ingresos totales,4067440000,2014,12
15367,Ingresos totales,11173370000,2014,12
15368,Ingresos totales,7118080000,2014,12
15377,Ingresos totales,7822960000,2014,12
15380,Ingresos totales,4119520000.0000005,2014,12
15401,Ingresos totales,5732890000,2014,12
15403,Ingresos totales,8144040000,2014,12
15407,Ingresos totales,19331400000,2014,12
15425,Ingresos totales,15830700000,2014,12
15442,Ingresos totales,9432780000,2014,12
15455,Ingresos totales,12675710000,2014,12
15464,Ingresos totales,6870760000,2014,12
15466,Ingresos totales,5392090000,2014,12
15469,Ingresos totales,20405710000,2014,12
15476,Ingresos totales,9585160000,2014,12
15480,Ingresos totales,11801770000,2014,12
15491,Ingresos totales,25629070000,2014,12
15494,Ingresos totales,8931550000,2014,12
15500,Ingresos totales,8303030000.000001,2014,12
15507,Ingresos totales,12959600000,2014,12
15511,Ingresos totales,5282760000,2014,12
15514,Ingresos totales,9657780000,2014,12
15516,Ingresos totales,32303300000,2014,12
15518,Ingresos totales,9511720000,2014,12
15522,Ingresos totales,5380130000,2014,12
15531,Ingresos totales,11168350000,2014,12
15533,Ingresos totales,9584010000,2014,12
15537,Ingresos totales,4719440000,2014,12
15542,Ingresos totales,13573400000,2014,12
15550,Ingresos totales,8596100000,2014,12
15572,Ingresos totales,87917410000,2014,12
15580,Ingresos totales,9472970000,2014,12
15599,Ingresos totales,12705870000,2014,12
15600,Ingresos totales,13512530000,2014,12
15621,Ingresos totales,4534370000,2014,12
15632,Ingresos totales,12943940000,2014,12
15638,Ingresos totales,6844580000,2014,12
15646,Ingresos totales,21714180000,2014,12
15660,Ingresos totales,7977850000,2014,12
15664,Ingresos totales,8928450000,2014,12
15667,Ingresos totales,7707400000,2014,12
15673,Ingresos totales,7498980000,2014,12
15676,Ingresos totales,6997920000,2014,12
15681,Ingresos totales,8670220000,2014,12
15686,Ingresos totales,10692730000,2014,12
15690,Ingresos totales,7200070000,2014,12
15693,Ingresos totales,8581440000.000001,2014,12
15696,Ingresos totales,6551470000,2014,12
15720,Ingresos totales,7237930000,2014,12
15723,Ingresos totales,3243160000,2014,12
15740,Ingresos totales,9170570000,2014,12
15753,Ingresos totales,12444550000,2014,12
15755,Ingresos totales,14382230000,2014,12
15757,Ingresos totales,7151520000,2014,12
15759,Ingresos totales,110102640000,2014,12
15761,Ingresos totales,5403110000,2014,12
15762,Ingresos totales,5894410000,2014,12
15763,Ingresos totales,10051560000,2014,12
15764,Ingresos totales,9880020000,2014,12
15774,Ingresos totales,7545360000,2014,12
15776,Ingresos totales,9082880000,2014,12
15778,Ingresos totales,6949900000,2014,12
15790,Ingresos totales,7083580000,2014,12
15798,Ingresos totales,5725080000,2014,12
15804,Ingresos totales,12534620000,2014,12
15806,Ingresos totales,13435890000,2014,12
15808,Ingresos totales,6110170000,2014,12
15810,Ingresos totales,6719430000,2014,12
15814,Ingresos totales,14000140000,2014,12
15816,Ingresos totales,7074230000,2014,12
15820,Ingresos totales,3879640000,2014,12
15822,Ingresos totales,10456840000,2014,12
15832,Ingresos totales,8249780000.000001,2014,12
15835,Ingresos totales,9890430000,2014,12
15837,Ingresos totales,16919619999.999998,2014,12
15839,Ingresos totales,4889020000,2014,12
15842,Ingresos totales,10096660000,2014,12
15861,Ingresos totales,13672870000,2014,12
15879,Ingresos totales,5899370000,2014,12
15897,Ingresos totales,11634220000,2014,12
17001,Ingresos totales,358917390000,2014,12
17013,Ingresos totales,18823930000,2014,12
17042,Ingresos totales,26963810000,2014,12
17050,Ingresos totales,10997990000,2014,12
17088,Ingresos totales,12346980000,2014,12
17174,Ingresos totales,40921910000,2014,12
17272,Ingresos totales,9871530000,2014,12
