codigo_entidad,ine_coberturaNeta_1,ine_coberturaNeta_2,ine_coberturaNeta_3,ine_tasaDesercion_1,ine_tasaDesercion_2,ine_tasaDesercion_3,ine_tasaRepitencia_1,ine_tasaRepitencia_2,ine_tasaRepitencia_3,ine_tasaAnalfabetismo_3,ine_porcentajeAsistencia_3,ine_pruebaLecturaMatematicas_1,ine_pruebaLecturaMatematicas_2,ine_pruebaLecturaMatematicas_3,ine_pruebaLecturaCritica_1,ine_pruebaLecturaCritica_2,ine_pruebaLecturaCritica_3
17013,8392,8034,8425.5,301.5,405.5,307.5,311,246.5,266,827,6528,4821,4761,4897,4824.5,5051,5246
17042,8596.5,8047.5,8095.5,446,496,403.5,632.5,255.5,360.5,667,6916,4853.5,4728.5,4832,4876.5,5024,5175
17050,8386.5,8105.5,8481,384,525,333,229,68.5,218.5,756,6764,4707.5,4691,4654,4807,5089.5,5096
17088,8575.5,8372.5,8396.5,455,594,406,596,364.5,401.5,1052,6738,4631.5,4591,4453,4649.5,4969.5,4866
17174,8195,7930,8819.5,338.5,495.5,369.5,434,180.5,171,545,6723,4923.5,4749,4803,4969.5,5032.5,5152
17272,7993,7449,7407,325.5,539,430.5,592.5,549,396,885,7057,4683,4514.5,4727,4734,4943,5027
17380,8210.5,7727.5,8176,418.5,633,505,685,204,222.5,641,6971,4653,4800.5,4844,4764.5,5089,5138
17388,11135,9999.5,9845,298,509.5,364.5,231.5,69.5,89.5,1049,6837,4626,4521.5,4540,4761.5,4978.5,4965
17433,6259,6119,7021.5,235.5,541.5,279.5,183,20.5,211.5,825,6809,4696.5,4978,4640,4713,5220.5,4923
17442,8644,7923.5,8435,258.5,330.5,406,381,115,140,658,6375,4478.5,4398,4635,4657.5,4867.5,4807
17444,7338,7193,8073.5,320.5,337,328.5,78,77.5,92,962,7044,4722,4857,4997,4894,5180,5192
17446,5042,4378,6058,394.5,360.5,442.5,462,411.5,362.5,736,7059,4498,4014,4531,4718.5,4545.5,4788
17486,5194,4950,7114.5,328.5,386,366.5,294.5,171.5,213,812,7042,5022.5,5209.5,5103,5041,5348.5,5256
17495,8731.5,8569,9074,325.5,373.5,275.5,555,432,445,958,7304,4721.5,4372,4590,4644.5,4852,5025
17513,6867.5,6498.5,7431.5,276,365.5,337.5,288,65.5,109.5,1027,5993,4712.5,4666,4764,4780,5103,5075
17524,7473,7259,8435,316,563.5,416.5,514,338.5,381,886,6927,4776.5,4579,4838,4798,4967.5,5255
17541,6473.5,6038,7155,361,378,343,271.5,216,119.5,870,7207,4836.5,4778.5,4911,4952,5207.5,5294
17614,7606,7132,7925,156,214,175.5,436.5,290,166.5,487,7250,4767.5,4719,4656,4791.5,5063,5017
17616,9978,9307,9405,500.5,570.5,367,352.5,164.5,254,993,6542,4776.5,4735.5,5063,4823,4973.5,5008
17653,7269.5,6846,6992,249,314.5,173.5,266.5,66,82,853,7005,4857,4828,4585,4898,5131,5025
17662,6868.5,6748,7776,451.5,417,360.5,344.5,107,77,1031,7065,4772,4655.5,4669,4837,4996.5,5071
17665,5528,5422.5,7588,313.5,381.5,259.5,62,235,23,1048,7421,4847,4923.5,4865,4917,5098.5,4974
17777,8590.5,8398.5,8370.5,222,306,290.5,276.5,32.5,26,562,6680,4569,4386.5,4360,4633.5,4832,4788
17867,10830,10419.5,9188.5,401.5,719.5,379,302.5,30,45.5,1087,7104,4453,4582.5,4632,4602.5,4931.5,4959
17873,8436.5,8253.5,8175.5,218,325.5,263.5,288,68,57.5,343,7269,5143.5,5141,5030,5200.5,5388.5,5389
17877,8705,8552,8909.5,444.5,478.5,422.5,90,82,78,694,6687,4719,4891.5,4769,4719,5088,4999
18000,7622.5,7486.5,8179.5,455,680.5,541,266.5,281.5,256,689,6875,4759.5,4650.5,4782,4749,4931.5,5005
18001,9351,9097.5,9301.5,496.5,664.5,426,460,265,241,0,0,4865,4868.5,5053,4924,5100.5,5247
18029,5789,5740,6846,346,548,532,233.5,471,398,677,6879,4582.5,4687.5,4768,4556.5,4874.5,4906
18094,7309,6696,7195.5,343.5,440.5,656.5,149.5,481,678.5,1206,6598,4471.5,4237,4488,4472.5,4468,4640
18150,7706.5,7875,8613,499,835,675.5,99,407,251,835,6564,4774.5,4579.5,4417,4640,4746,4772
18205,6846.5,6571.5,7809,351,852.5,463.5,9,77,24.5,1025,6991,4550,4505,4691,4565.5,4723.5,4797
18247,8513,8040.5,8506.5,508.5,654.5,595.5,137,311.5,220.5,816,6973,4706.5,4811.5,4887,4698,5009.5,5104
18256,5674.5,5438.5,5728.5,407,529.5,452,396,474.5,500,980,6560,4704.5,4800,4821,4712.5,5009,4950
18410,5728.5,5689,7152.5,431,502,446,116,313,395.5,887,7344,4611,4426,4052,4515,4691,4492
18460,6415.5,6782,6923,305,669.5,544.5,487,434,579.5,957,7474,4377.5,4075.5,4287,4307.5,4411.5,4532
18479,7813,7907.5,8253.5,286.5,408.5,511.5,47.5,136,25.5,783,7277,4469,4404.5,4377,4451,4700.5,4617
18592,7459,7226.5,7778.5,361,680.5,612.5,91,87,119.5,938,6442,4572,4592.5,4686,4619,4855,4946
18610,8438,8635,8651.5,414.5,631,689,94.5,310.5,403,775,6691,4483.5,4498.5,4536,4445,4720,4727
18753,7052.5,7066,8418.5,498,771.5,690,122.5,195.5,167,801,6598,4599,4437,4540,4574.5,4768.5,4847
18756,3875,3925.5,5470,382.5,725,554,72,348.5,105.5,881,6868,4282.5,4119.5,4209,4238,4584.5,4380
18785,7208,6863,7278.5,379.5,649.5,433,93.5,477.5,285.5,951,6760,4475,4123.5,4538,4450.5,4525.5,4646
18860,5155,4869.5,6016,189,708,619.5,520,287,292,829,6727,4683.5,4702,4769,4573,4976.5,4933
19000,8339.5,8358,8404.5,335.5,280,268,162,124,113.5,753,7210,4668,4598.5,4698,4659.5,4924,4943
19001,10241.5,10756.5,10611.5,259.5,187,243,480.5,351.5,299,0,0,5022,5153,5242,5000,5297,5420
19022,5993.5,6006,6446,297,319.5,238.5,326,118.5,57.5,1518,7111,4438.5,4515,4703,4431,4682.5,4612
19050,8742,8804.5,9417.5,437.5,659.5,597.5,95,35.5,34,981,6482,4617.5,4671.5,4689,4679.5,4908.5,4911
19075,6155.5,6035.5,6917.5,374.5,322.5,342,183,115.5,100,1016,6341,4731.5,4704.5,4786,4697.5,4925,5043
19100,7008.5,6633,7668.5,214.5,254.5,219,130,96.5,57.5,1090,7212,4657.5,4676,4605,4618.5,4918,4831
19110,6873.5,7075,7331.5,217.5,217,269.5,28.5,53.5,65,888,6833,4183.5,4024.5,4012,4217,4478,4427
