codigo_entidad,ine_coberturaNeta_r,ine_tasaDesercion_r_2,ine_tasaDesercion_r_3,ine_tasaRepitencia_r_2,ine_tasaRepitencia_r_3,ine_pruebaLecturaMatematicas_r_2,ine_pruebaLecturaMatematicas_r_3,ine_pruebaLecturaCritica_r_2,ine_pruebaLecturaCritica_r_3
5364,-5.4399999999999995,8.41,0,73.05,0,2.67,0,4.49,0
5364,1.35,0,5.220000000000001,0,-69.41000000000001,0,-1.82,0,-0.4
5368,-7.06,56.42,0,55.35,0,2.77,0,8.93,0
5368,-3.38,0,-26.009999999999998,0,-40.44,0,-1.34,0,0.15
5376,-4.66,19.38,0,-16.900000000000002,0,-1.77,0,2.63,0
5376,-0.18,0,-13.88,0,-29.080000000000002,0,0.51,0,0.54
5380,1.18,70.54,0,0,0,1.09,0,4.859999999999999,0
5380,12.01,0,-2.7199999999999998,0,-67.74,0,-1.55,0,0.19
5390,-4.760000000000001,13.23,0,-84.55,0,-3.35,0,0.64,0
5390,-6.34,0,-17.94,0,249.07,0,-0.97,0,4.75
5400,-5.37,53,0,-30.4,0,-2.09,0,4.26,0
5400,2.3,0,5.88,0,-21.45,0,0.41000000000000003,0,0.88
5411,-2.8400000000000003,-4.52,0,18.83,0,-2.54,0,3,0
5411,-7.06,0,-33.160000000000004,0,91.36999999999999,0,-1.16,0,1.3
5425,0.6,-15.21,0,-9.04,0,6.1899999999999995,0,12.120000000000001,0
5425,-16.09,0,-25.580000000000002,0,-29.13,0,-2.92,0,-1.08
5440,5.140000000000001,36.43,0,-66.09,0,1.47,0,5.38,0
5440,2.45,0,-1.7000000000000002,0,-5.07,0,-0.9199999999999999,0,1.02
5467,-17.91,231.61,0,0,0,5.07,0,12.91,0
5467,3.2099999999999995,0,-24.84,0,137.98,0,-2.15,0,-1.02
5475,3.8600000000000003,77.47,0,2714.63,0,-16.439999999999998,0,-7.3999999999999995,0
5475,-24.86,0,64.23,0,-38.99,0,13.88,0,-0.54
5480,-4.54,135.5,0,165.53,0,-5.36,0,1.24,0
5480,19.72,0,-27.650000000000002,0,-57.07,0,-1.1400000000000001,0,1.81
5483,-16.09,130.41,0,-61.160000000000004,0,-5.24,0,1.17,0
5483,21.39,0,-23.599999999999998,0,-23.86,0,3.85,0,4.22
5490,-6.12,47.599999999999994,0,-32.029999999999994,0,-7.000000000000001,0,2.5700000000000003,0
5490,15.479999999999999,0,2.76,0,-35.25,0,1.7000000000000002,0,0.35000000000000003
5495,-3.1199999999999997,47.74,0,41.19,0,-5.680000000000001,0,4.279999999999999,0
5495,-6.67,0,3.62,0,-37.61,0,-2.78,0,0.26
5501,-3.36,36.59,0,-11.469999999999999,0,-3.42,0,3.27,0
5501,-2.3,0,-1.43,0,12.950000000000001,0,1.9,0,-1.72
5541,-10.209999999999999,51.78,0,-65.16999999999999,0,-1.29,0,4.07,0
5541,2.0500000000000003,0,14.71,0,64.52,0,-2.91,0,-1.6400000000000001
5543,-10.99,15.21,0,-34.82,0,-8.08,0,2.15,0
5543,9.41,0,-25.650000000000002,0,-11.51,0,3.29,0,2.0500000000000003
5576,-0.36,-13.56,0,-30,0,1.24,0,7.829999999999999,0
5576,-6.819999999999999,0,-16.220000000000002,0,-40.410000000000004,0,-5.949999999999999,0,-4.2
5579,-8.5,36.39,0,-31.180000000000003,0,-0.52,0,6.32,0
