codigo_entidad,inf_ingresos_m_1,inf_ingresos_m_2,inf_ingresos_m_3,inf_financiamiento_m_1,inf_financiamiento_m_2,inf_financiamiento_m_3,inf_regaliaspc_m_1,inf_regaliaspc_m_2,inf_regaliaspc_m_3,inf_nproyectos_m_1,inf_nproyectos_m_2,inf_nproyectos_m_3,inf_vproyectos_m_1,inf_vproyectos_m_2,inf_igpr_m_2,inf_igpr_m_3,inf_desempennofiscal_m_1,inf_desempennofiscal_m_2,inf_desempennofiscal_m_3,inf_peducacion_m_1,inf_peducacion_m_2,inf_peducacion_m_3,inf_psalud_m_1,inf_psalud_m_2,inf_psalud_m_3
5353,8635160000,9047615000,11140030000,-1228965000,-1405520000,-1137275000,240517.865,53749.145000000004,197537.445,1,2,1,0,0,57.94333333333333,62.21,68.92,67.65,66.28,5.82,4.47,3.885,30.61,28.299999999999997,28.785
5360,358966435000,385014540000,458654345000,66169020000,-5608360000,1606350000,0,0.33,0,0,0,0,0,0,0,0,82.88,81.225,82.7,68.19,71.275,71.72,17.310000000000002,15.155000000000001,15.34
5361,27030565000,29097625000,34957470000,577870000,-261920000,11983995000,40729.815,9939.74,0,0,1.5,1,2800167332,0,68.55,89.91499999999999,72.50999999999999,71.515,74.48,11.7,9.43,6.779999999999999,45.545,44.855000000000004,50.58
5364,13648385000,17477165000,19155895000,1358775000,76985000,675390000,103880,38418.225000000006,27318.105,2,1,0,128486431,59034263,71.61500000000001,76.8625,68.41,69.27000000000001,68.92,7.404999999999999,7.755,5.675000000000001,44.985,48.465,49.945
5368,13988185000,13981120000,19148920000,2919035000,-1481840000,-1705685000,74514.125,0,73329.915,1,1,1,383424871,254913657,57.255,60.88,71.88,68.755,75.11,10.385,8.645,6.655,39.85,40.05,38.69499999999999
5376,38145470000,53806635000,75256825000,5006465000,8628880000,4950625000,27131.495000000003,21696.515,15132.04,1,5,0,1369431327,865000000,74.42,72.07124999999999,79.5,80.055,82.08,16.685000000000002,16.42,13.120000000000001,40.11,40.59,44.239999999999995
5380,60031330000,76910115000,99713700000,8562940000,-9779255000,7872040000,755.78,751.78,3.395,1,0,0,91292766,0,0,0,83.46000000000001,82.27000000000001,83.16,13.24,11.52,10.555,38.32,37.78,43.605000000000004
5390,10689360000,16272705000,14322625000,910045000,3176100000,-514165000,79067.64,36861.14,17639.06,5,0,0,0,0,66.745,71.52125,72.32,70.89,72.72,7.45,6.775,5.5,30.71,30.33,34.655
5400,19800315000,18377475000,29866530000,2509955000,1016570000,3237950000,38176.405,0,0,1,2,0,2300308894.92,0,64.585,66.0025,74.4,73.235,75.43,9.594999999999999,8.885,7.1899999999999995,44.195,42.435,45.495
5411,13286130000,14891190000,14760590000,1796680000,-3527860000,5121370000,204117.30000000002,146130.105,0,3,2,0,4148328948,0,62.81333333333333,64.31,66.7,64.05499999999999,66.15,8.969999999999999,7.449999999999999,5.545,39.545,40.22,47.485
5425,14162765000,16349380000,18720400000,717875000,-492520000,-1063385000,561479.87,397127.275,400630.8,0,6.5,1,4632769677.04,138539529.76,71.83666666666667,72.55333333333333,73.785,75.34,68.98,6.9399999999999995,6.895,4.635,36.325,35.22,38.394999999999996
5440,41466870000,54227790000,66414475000,9681570000,-3170525000,7913835000,31115.305,13484.305,22810.015,0,2,3,746564414,0,84.92,91.885,77.665,78.09,79.34,16.05,15.33,11.85,52.325,48.315,50.765
5467,9397105000,9648000000,8728585000,3269510000,66375000,-216660000,103568.47,25193.515,0,3.5,0,0,304994544,0,69.41333333333333,73.34625,67.94999999999999,62.715,64.77,5.869999999999999,4.71,3.7750000000000004,35.64,34.62,38.620000000000005
5475,11893670000,9926595000,12281760000,-1507505000,458170000,556565000,113912.71,41468.985,325.065,1,2,0,311166225,0,66.54166666666667,72.7,66.935,61.805,60.53,5.05,4.325,3.885,13.395,16.65,21.155
5480,16477845000,23171215000,33185155000,2126825000,57295000,1983555000,91043.235,33120.6,0,1.5,1,3,522143522,0,61.33166666666666,58.1375,62.65,54.84,69.84,9.28,8.45,5.984999999999999,44.28,45.915,47.41
5483,11455005000,13795515000,17397170000,1415185000,-358570000,239405000,32813.8,11478.595,4256.03,1,4.5,0,903067672,392653643,56.5,43.97125,61.269999999999996,59.385,53.44,7.234999999999999,5.359999999999999,4.26,40.415,39.84,43.365
5490,50545810000,60749750000,70748800000,5679775000,-1989739999.9999998,1283505000,79250.83499999999,55400.869999999995,76714.045,0,6.5,1,2079879090,2418087114,67.725,63.415,71.46000000000001,72.03999999999999,72.39,14.025,12.61,9.559999999999999,50.61,53.235,58.255
