codigo_entidad,inf_ingresos_m,inf_ingresos_sd,inf_financiamiento_m,inf_financiamiento_sd,inf_desempennofiscal_m,inf_desempennofiscal_sd,inf_igpr_m,inf_igpr_sd,inf_nproyectos_m,inf_nproyectos_sd,inf_peducacion_m,inf_peducacion_sd,inf_psalud_m,inf_psalud_sd,inf_regaliaspc_m,inf_regaliaspc_sd,inf_vproyectos_m,inf_vproyectos_sd
68533,7733496666.666667,833581638.3214464,582821666.6666666,3149896396.5655546,70.336,1.4720156249170713,75.69875,4.2231235971336005,1.6666666666666667,0.5773502691896257,4.331666666666667,0.8805774620478691,28.205,1.5049086351004834,180660.78,103802.19348538219,805540013.105,685030903.0867704
68547,180714898333.33334,30564395972.564167,17601686666.666668,15043875748.922771,77.286,3.6323656203636765,NaN,NA,1.6666666666666667,1.1547005383792515,73.145,0.5056382105814414,16.025,1.7093712294291141,8.401666666666666,20.579796322283332,6129450005.125,2419377647.21234
68549,7457691666.666667,1863747157.9634042,-720743333.3333334,1093888263.9953072,76.48,3.058095812756695,76.241875,3.784938008629287,2.3333333333333335,1.5275252316519468,4.508333333333333,0.552536574958316,25.268333333333334,2.06202246997133,53762.64166666666,51310.4887746283,390450475.75,530390823.18043405
68572,19867733333.333332,2890980863.3656964,1390410000,3680679898.268797,79.36,4.607559006675877,65.31,7.1187279411422955,2.3333333333333335,0.5773502691896257,9.986666666666666,2.426047540067314,39.73833333333333,2.3071837089115084,114627.25,117839.9726726382,121874183.09,172356122.6290197
68573,12119025000,1262488342.3897426,-594990000,1646850005.8839602,74.964,3.3318208235137767,72.37694444444445,13.99337770789904,1.5,0.7071067811865476,6.196666666666666,0.8750923760761868,24.03,2.660774323387836,96191.99166666667,73828.10300298591,876826108.69,NA
68575,37613513333.333336,7227666991.804939,1891885000,5286994607.028647,74.088,1.4460532493653215,63.55375,6.6287739250935385,8.2,7.293833011524188,12.626666666666667,2.4358708230664994,42.79,3.0147371361364157,330257.3416666667,177767.16531551044,5179326640.873333,7193618417.526948
68615,23308733333.333332,4059910561.289087,5220440000,5363596630.500843,74.148,4.3446599406627895,73.62375,6.901135323263849,5.6,6.308724118235001,10.525,1.8972480069827458,55.754999999999995,3.538229783380384,58288.625,51949.21428631573,4239479506.245,1854311983.3114467
68655,49157683333.333336,13759713509.591204,8497576666.666667,11014830709.865072,65.468,7.502274321830681,58.18,3.622240904007718,15.75,18.962682651284688,11.381666666666666,1.5105418453874975,48.54666666666667,4.110935011243389,607206.9633333334,514301.2916580159,5732402105.343333,8613097615.045145
68669,12254115000,2725477703.132058,-185770000,297078834.9243345,65.768,3.3191520001349715,73.071875,3.674048842330942,1.3333333333333333,0.5773502691896257,6.18,2.0488142912426204,39.17166666666667,1.5607487519350014,44263.73333333333,58297.180324883186,278314698,NA
68673,7205393333.333333,2553723960.9845595,2257660000,3168332288.867441,68.612,5.382589525497928,68.178125,4.336486853337235,1,0,3.2666666666666666,0.887866356309702,23.273333333333333,1.3855203595280243,74202.11166666666,41331.06166866195,406819783.08,575330054.6734165
68679,44242530000,7010339002.165302,2445590000,3439095077.1038594,79.606,1.6694100754458143,77.09125,1.400459002137034,1.6666666666666667,0.5773502691896257,13.321666666666665,2.450782868119219,56.42,5.974867362544544,39960.335,23354.594846617016,791584353,1119469327.7749317
68682,6946071666.666667,1713695090.025255,-273231666.6666667,1056387452.0916399,61.494,4.747897429389139,74.30625,15.282345308394257,3,NA,2.9633333333333334,1.004363811906157,16.166666666666668,1.3662601021279464,71856.173333333325,126177.75604588339,72423514.2,NA
68684,8842106666.666666,2416593231.304488,858536666.6666667,1114911883.794709,65.864,4.364691283470117,82.51361111111112,13.621588011450934,1.3333333333333333,0.5773502691896257,3.4166666666666665,1.2825079596893996,21.476666666666667,2.16113550400401,19007.525,39258.62832032915,1185707663.15,871913875.7450929
68686,7914521666.666667,871950246.1130834,847810000,1318980344.1901627,64.91199999999999,2.887710165511768,69.739375,4.661616035507428,1.6666666666666667,1.1547005383792515,2.6983333333333333,0.8640698274252301,14.176666666666668,1.30807746967321,172881.78666666665,142356.92685557617,1535172092,NA
68689,39561735000,7507963981.303453,8683736666.666666,10825622601.828806,75.546,1.894922161989776,71.3325,2.5829351843719706,20,9.41629792788369,11.23,2.1456281131640687,56.501666666666665,2.4246188703931733,314958.62,248495.3926270258,6877833492.3133335,10301007446.824158
