codigo_entidad,inf_regaliaspc_m,inf_regaliaspc_m1_2,inf_regaliaspc_m1_3,inf_ingresos_m_r_2,inf_ingresos_m_r_3,inf_financiamiento_m_r_2,inf_financiamiento_m_r_3,inf_regaliaspc_m_r_2,inf_regaliaspc_m_r_3,inf_nproyectos_m_r_2,inf_nproyectos_m_r_3,inf_vproyectos_m_r_2,inf_igpr_m_r_3,inf_desempennofiscal_m_r_2,inf_desempennofiscal_m_r_3,inf_peducacion_m_r_2,inf_peducacion_m_r_3,inf_psalud_m_r_2,inf_psalud_m_r_3
5148,14382.18,53451.3,0,12.07,0,-88.69,0,-73.09,0,50,0,0,0,-0.6,0,1.5599999999999998,0,0.49,0
5148,23285.355,0,14382.18,0,33.81,0,11.459999999999999,0,61.9,0,0,0,68.12,0,1.09,0,-24.09,0,5.82
5150,13277.955,78522.725,0,-8.38,0,-27.810000000000002,0,-83.09,0,-75,0,0,0,-6.2700000000000005,0,-19.580000000000002,0,-9.83,0
5150,0,0,13277.955,0,47.370000000000005,0,-254.6,0,-100,0,100,0,69.44,0,6.76,0,-11.53,0,6.54
5154,68768.015,134904.755,0,6.72,0,89.96,0,-49.02,0,325,0,-94.85,0,-3.04,0,2.8400000000000003,0,7.19,0
5154,97770.67,0,68768.015,0,25.6,0,86.83,0,42.17,0,0,0,3.6799999999999997,0,4.73,0,-25.82,0,9.92
5172,35961.91,129243.705,0,14.04,0,-144.37,0,-72.18,0,150,0,-99.24,0,2.7199999999999998,0,3.26,0,1.83,0
5172,111212.585,0,35961.91,0,11.19,0,76.44,0,209.24999999999997,0,-60,0,23.419999999999998,0,-2.27,0,-26.529999999999998,0,7.359999999999999
5190,18249.665,131080.435,0,-11.12,0,-109.52,0,-86.08,0,0,0,0,0,-0.1,0,-7.75,0,2.26,0
5190,128574.295,0,18249.665,0,43.7,0,-833.79,0,604.53,0,0,0,25.590000000000003,0,-0.08,0,-19.12,0,-0.5499999999999999
5197,71142.58,104991.965,0,10.780000000000001,0,-1041.34,0,-32.24,0,400,0,0,0,0.83,0,-21.55,0,5.58,0
5197,46388.78999999999,0,71142.58,0,23.400000000000002,0,17.990000000000002,0,-34.79,0,0,0,12.2,0,2.53,0,-25.080000000000002,0,8.559999999999999
5206,4906.55,122468.965,0,-20.89,0,229.24,0,-95.99,0,-80,0,0,0,-12.9,0,-28.79,0,-1.63,0
5206,236531.15499999997,0,4906.55,0,39.04,0,-204.13000000000002,0,4720.72,0,0,0,0,0,7.59,0,-0.13999999999999999,0,18.6
5209,16281.78,84614.33499999999,0,13.270000000000001,0,-147.89000000000001,0,-80.76,0,0,0,-70.73,0,-0.9400000000000001,0,-13.370000000000001,0,-1.6500000000000001,0
5209,61880.49,0,16281.78,0,27.32,0,-1224.3600000000001,0,280.06,0,-33.33,0,4.58,0,4.03,0,-26.19,0,10.08
5212,30.055,52.625,0,4.29,0,-141.9,0,-42.89,0,0,0,0,0,-4.04,0,-2.7199999999999998,0,3.4299999999999997,0
5212,0,0,30.055,0,12.31,0,-231.47000000000003,0,-100,0,0,0,0,0,0.2,0,-15.040000000000001,0,7.91
5234,76408.405,66405.86499999999,0,-8.23,0,18.01,0,15.06,0,50,0,0,0,-10.209999999999999,0,-18.16,0,8.48,0
5234,9433.135,0,76408.405,0,53.5,0,179.32,0,-87.64999999999999,0,0,0,19.32,0,-10.27,0,-26.5,0,10.58
5237,54841.17999999999,47935.675,0,-1.63,0,-329.99,0,14.41,0,-66.67,0,105.45,0,-5.63,0,10.5,0,2.75,0
5237,58003.36,0,54841.17999999999,0,25.85,0,-251.21000000000004,0,5.7700000000000005,0,0,0,3.25,0,-3.56,0,-22.7,0,6.39
5240,50968.775,31783.22,0,33.18,0,-143.84,0,60.36,0,25,0,0,0,-0.67,0,-17.630000000000003,0,-0.44,0
5240,83206.155,0,50968.775,0,12.4,0,-260.24,0,63.24999999999999,0,60,0,1.52,0,-2.15,0,-24.529999999999998,0,4
5250,85709.96,112267.185,0,3.6799999999999997,0,-64.46,0,-23.66,0,275,0,0,0,-6.8500000000000005,0,-0.25,0,6.72,0
5250,131758.59999999998,0,85709.96,0,18.37,0,-293.13,0,53.73,0,-86.67,0,-0.97,0,7.06,0,-27.400000000000002,0,7.86
5264,56851.27,69660.185,0,23.169999999999998,0,-455.71000000000004,0,-18.39,0,0,0,0,0,1.77,0,-5.0200000000000005,0,-1.32,0
