codigo_entidad,ine_coberturaNeta_m,ine_coberturaNeta_sd,ine_tasaDesercion_m,ine_tasaDesercion_sd,ine_tasaRepitencia_m,ine_tasaRepitencia_sd,ine_tasaAnalfabetismo_m,ine_porcentajeAsistencia_m,ine_pruebaLecturaMatematicas_m,ine_pruebaLecturaMatematicas_sd,ine_pruebaLecturaCritica_m,ine_pruebaLecturaCritica_sd
68615,9124,518.0119689736908,345.5,99.50226128083723,85.33333333333333,28.204018626193445,931,6738,4870.4,111.14315093607883,4920,182.21690371642254
68655,16741.5,3600.8253914901234,539,118.55294176021107,66.83333333333333,51.64655522555853,798,6797,4937.6,78.72928298924106,5044.2,184.7287200193841
68669,10634,536.870561681305,199.66666666666666,57.4827510359992,123,79.62411694957753,833,7488,4996.4,204.18937288703347,5008.4,274.661245901201
68673,5683.166666666667,1087.4758694640846,145.83333333333334,84.45215608062749,128.5,211.48025912599977,1197,8169,4897,152.34500319997372,4986.6,200.32798107104261
68679,13034,1531.2472040790801,276,43.78127453603881,140.83333333333334,79.07064351999841,324,7479,5398.6,107.44440422841944,5423.8,187.7144107414239
68682,9329.333333333334,306.0808172144518,194.33333333333334,82.42491532702152,87.33333333333333,135.5856432911194,969,7478,5242.6,664.6027384836749,5085.6,467.37811245286184
68684,7178.666666666667,266.53830243825496,283.8333333333333,161.15758333589724,337.3333333333333,179.78728171555036,909,8202,5124.2,85.29185189688403,4963.6,167.64038892820548
68686,10076.5,850.3894989944314,164.83333333333334,98.6679617032128,577.5,664.2628244904271,1111,8164,4851.8,240.7108223574503,4971.6,280.7183642015606
68689,8041,323.9641955525332,372,102.67424214475605,139.83333333333334,39.766401228507796,786,7034,4989.2,140.37877332417463,5081,238.75824593089973
68705,9084.333333333334,790.3347813848677,403.8333333333333,223.44611580125232,446.6666666666667,314.89723191331274,793,7234,4759.6,174.74638765937337,4858.4,196.78363753117281
68720,7482.5,747.6458386161191,266,100.43107088944137,102.83333333333333,121.52928316527941,1061,7440,4590.4,320.77531077063895,4660.8,336.1245304942797
