codigo_entidad,inf_ingresos_m,inf_financiamiento_m,inf_desempennofiscal_m,inf_igpr_m,inf_nproyectos_m,inf_peducacion_m,inf_psalud_m,inf_regaliaspc_m,inf_vproyectos_m
41396,53628251666.66667,550363333.3333334,70.506,74.83375000000001,6.6,11.326666666666666,60.61666666666667,69402.99166666667,2158762269.666667
41483,10291740000,-115980000,65.408,63.09375,1.3333333333333333,6.3933333333333335,29.795,36284.433333333334,356777755
41503,15835013333.333334,-6360000,63.966,95.5,1,7.3133333333333335,37.471666666666664,44721.065,7154790875.75
41518,10724848333.333334,-50378333.333333336,68.754,73.894375,2.75,5.451666666666666,28.85,259019.60166666668,1476962487.6
41524,36662465000,-264760000,78.57000000000001,57.57625,4.6,9.616666666666667,49.46,227994.9166666667,7160397571.43
41530,15058196666.666666,2049910000,64.202,78.93916666666667,2.75,7.498333333333333,41.223333333333336,45572.556666666664,701831361.3333334
41548,13655760000,1640175000,62.954,65.575,2.3333333333333335,8.083333333333334,42.08,39534.27166666667,629921300.3333334
41551,180621026666.66666,2001461666.6666667,73.70400000000001,56.598125,4.8,61.155,27.911666666666665,51156.17833333334,5238783190.973333
41615,21596025000,3175981666.666667,73.81400000000001,79.995625,2.3333333333333335,8.741666666666667,46.236666666666665,41822.85,2478950680
41660,14837845000,617438333.3333334,60.938,72.749375,2,7.261666666666667,41.90833333333333,53470.485,876205325.5
41668,37150836666.666664,987371666.6666666,68.436,60.4525,5,8.436666666666666,59.46,91382.69833333333,1867745686.76
41676,13249478333.333334,1214941666.6666667,64.112,81.54583333333333,2,6.725,40.78333333333333,25895.465,676632350
41770,22515895000,1087558333.3333333,69.182,73.06805555555556,5.333333333333333,8.6,46.32333333333333,89227.83499999999,3388702679.295
41791,18653986666.666668,2215133333.3333335,64.176,77.560625,3.5,9.131666666666668,45.376666666666665,102983.72833333333,3884018385.8
41797,12718196666.666666,2202258333.3333335,69.22800000000001,75.586875,3.3333333333333335,7.335,40.58166666666666,155680.44333333333,647097767.6533333
41799,16974590000,381066666.6666667,67.758,68.15375,4,6.7716666666666665,36.12,108261.04000000001,5785001098.8
41801,9858730000,680661666.6666666,63.176,71.98,2,6.093333333333334,38.35333333333333,74008.076666666675,685176844.025
41807,22519378333.333332,-395626666.6666667,67.766,69.355,1.8,7.911666666666667,51.59166666666667,18875.628333333334,4650963827.530001
41872,9821198333.333334,226186666.66666666,65.536,43.855000000000004,4,4.473333333333333,31.263333333333332,65237.823333333334,5469387698.255
